,start time,end time,cumulative rainfall,rainfall duration,maximum 48-hour rainfall,rainfall in the previous 10 days,Wan San cumulative rainfall,flood peak,flood peak time,water level,rising flow
205,2020/7/1 6:00,2020/7/2 13:00,38,31,38.3,67,40,11943,2020/7/2 12:00,146.9,1664.260462
206,2020/7/4 7:00,2020/7/6 4:00,19,45,21.9,87,17,6402,2020/7/5 19:00,149.2,5535.924
207,2020/7/10 21:00,2020/7/14 5:00,37,80,30.1,67,41,7580,2020/7/13 2:00,152.7,1696.258577
208,2020/7/15 1:00,2020/7/19 0:00,108,95,79.8,58,131,22226,2020/7/17 20:00,158.6,3851.019115
209,2020/7/21 2:00,2020/7/22 10:00,12,32,14.8,145,24,5046,2020/7/22 0:00,163,2391.658154
210,2020/7/25 17:00,2020/7/26 15:00,53,22,53.7,117,53,23278,2020/7/26 12:00,159.3,1677.213231
211,2020/8/7 22:00,2020/8/9 16:00,20,42,22.6,1,24,2902,2020/8/8 12:00,158.6,1125.077269
212,2020/8/18 17:00,2020/8/18 23:00,5,6,5.2,12,6,1457,2020/8/19 4:00,158.9,0
213,2020/8/20 12:00,2020/8/21 17:00,16,29,17.6,10,28,12252,2020/8/20 22:00,164.1,6448.307577
214,2020/9/1 17:00,2020/9/2 15:00,10,22,11.3,5,13,2120,2020/9/2 20:00,160,46.44053846
215,2020/9/12 16:00,2020/9/14 2:00,17,34,18.7,8,15,1351,2020/9/13 22:00,155.4,231.6168462
216,2020/9/21 19:00,2020/9/22 16:00,19,21,19,33,17,1340,2020/9/23 0:00,160.6,607.157
217,2020/9/25 2:00,2020/9/26 6:00,13,28,13.9,31,9,2003,2020/9/26 9:00,159.3,657.9887308
218,2020/10/2 1:00,2020/10/5 14:00,75,85,55.9,29,89,9108,2020/10/3 6:00,167.7,845.8541538
219,2020/10/15 2:00,2020/10/16 7:00,17,29,17.2,11,14,2675,2020/10/16 12:00,171.3,249.0531154
220,2020/11/18 0:00,2020/11/18 14:00,12,14,12.7,4,21,2765,2020/11/18 18:00,173.8,256.7663846
221,2020/11/22 23:00,2020/11/23 12:00,6,13,6.8,16,9,1979,2020/11/23 17:00,173.8,685.9248077
222,2021/2/15 7:00,2021/2/16 7:00,9,24,9.9,0,6,2391,2021/2/16 6:00,168.6,382.9230769
223,2021/2/23 9:00,2021/2/23 16:00,6,7,6.4,9,11,580,2021/2/24 5:00,167.1,144.4615385
224,2021/2/25 12:00,2021/2/25 22:00,7,10,7.3,13,6,1800,2021/2/26 4:00,166.9,721.6923077
225,2021/3/18 6:00,2021/3/18 18:00,10,12,10.5,6,16,2030,2021/3/18 18:00,165.6,652.3076923
226,2021/3/30 7:00,2021/3/30 20:00,29,13,29.7,8,32,5160,2021/3/30 18:00,165.2,655.7692308
