name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak,hydrological similarity,temporal similarity,spatial similarity,fusion similarity
103,0.0662,7,1866,230,1580,0.0662,0.498606,0.238285,380.79395858731385
144,0.0711,6,1551,230,1580,0.0711,0.398381,0.279371,367.0326380339659
29,0.0726,7,1798,230,1580,0.0726,0.461905,0.249411,395.17667146268826
36,0.0756,6,1487,230,1580,0.0756,0.467212,0.275409,405.50477456812
182,0.0767,9,2126,230,1580,0.0767,0.422098,0.22443,404.08034928431204
120,0.0819,8,2678,230,1580,0.0819,0.422624,0.258105,421.0536319955742
142,0.1043,30,4615,231,8130,0.1043,0.468678,0.246524,527.5437258096017
135,0.1266,28,11701,231,8130,0.1266,0.469466,0.230095,621.4633589701161
21,0.1587,30,10357,231,8130,0.1587,0.472172,0.260177,749.9043363950206
92,0.1823,27,8014,231,8130,0.1823,0.45376,0.244841,843.5780948278151
180,0.2149,36,4804,231,8130,0.2149,0.457536,0.274949,974.3698603720738
104,0.2172,33,5897,231,8130,0.2172,0.491009,0.279186,992.7114315704146
147,0.219,33,2611,231,8130,0.219,0.461595,0.253186,995.2558715459563
64,0.2308,29,3546,231,8130,0.2308,0.476668,0.289073,1043.128924888862
88,0.2531,33,9276,231,8130,0.2531,0.466359,0.270265,1134.2269572951254
168,0.2703,32,5747,231,8130,0.2703,0.451179,0.274724,1199.9047718731579
132,0.1502,26,7241,232,3130,0.1502,0.440517,0.261706,705.8665261613238
124,0.1588,22,5410,232,3130,0.1588,0.478451,0.242881,754.4083767012341
52,0.1724,22,3147,232,3130,0.1724,0.467094,0.22027,810.0235638716487
125,0.183,24,3512,232,3130,0.183,0.48031,0.21761,857.6111303926543
143,0.1932,25,4492,232,3130,0.1932,0.490529,0.223064,901.6224997684797
170,0.1936,24,4700,232,3130,0.1936,0.475654,0.229527,898.1885356933489
140,0.2072,24,2416,232,3130,0.2072,0.494309,0.261034,955.0472812986314
176,0.2076,21,5137,232,3130,0.2076,0.462539,0.235464,951.1232721049904
157,0.2219,25,2783,232,3130,0.2219,0.449928,0.229547,1007.0194211880312
95,0.2397,27,4025,232,3130,0.2397,0.4705,0.270804,1080.3469982290133
63,0.1269,8,1834,233,3070,0.1269,0.455607,0.279078,612.2108472541894
54,0.1437,9,3814,233,3070,0.1437,0.490639,0.245455,695.5579725855131
164,0.1555,11,3234,233,3070,0.1555,0.474175,0.267956,736.2996630498702
133,0.1615,8,2875,233,3070,0.1615,0.439042,0.27024,750.6693433851183
99,0.1752,10,2281,233,3070,0.1752,0.427623,0.289529,801.0645686265614
93,0.1775,6,3859,233,3070,0.1775,0.490357,0.254466,832.9509803288739
90,0.1788,8,2079,233,3070,0.1788,0.444915,0.280793,821.8988057801641
155,0.182,7,1921,233,3070,0.182,0.398932,0.290156,820.7615627632031
156,0.1838,10,3096,233,3070,0.1838,0.449601,0.292575,842.1613889474226
198,0.1874,14,2938,233,3070,0.1874,0.375893,0.297698,835.3875501798111
53,0.0887,5,2793,234,2480,0.0887,0.523737,0.226411,481.81271090512286
65,0.1122,6,2200,234,2480,0.1122,0.512903,0.234054,574.142479997838
172,0.1202,6,1958,234,2480,0.1202,0.448422,0.238665,588.1013264266791
155,0.1299,7,1921,234,2480,0.1299,0.450439,0.273642,623.7854270533848
22,0.1358,5,1381,234,2480,0.1358,0.511206,0.228677,671.2122678839256
78,0.1557,6,1354,234,2480,0.1557,0.518546,0.233129,754.3418106438364
63,0.1684,8,1834,234,2480,0.1684,0.478372,0.306464,785.2571309264824
76,0.1708,5,647,234,2480,0.1708,0.451048,0.24476,795.6375091042601
105,0.1742,6,3431,234,2480,0.1742,0.502012,0.26546,821.2367132265063
134,0.1858,5,2235,234,2480,0.1858,0.512454,0.236371,875.6825309117485
172,0.0423,6,1958,235,3170,0.0423,0.412669,0.256229,256.010804092268
65,0.0474,6,2200,235,3170,0.0474,0.391914,0.235295,273.8667428812736
155,0.079,7,1921,235,3170,0.079,0.407449,0.2711,403.1200274774985
53,0.1011,5,2793,235,3170,0.1011,0.440182,0.216452,510.37863538976376
105,0.1036,6,3431,235,3170,0.1036,0.443309,0.248091,517.2827148240237
22,0.118,5,1381,235,3170,0.118,0.475813,0.250013,585.3059346393367
63,0.1206,8,1834,235,3170,0.1206,0.467732,0.250497,593.6219851548612
78,0.1317,6,1354,235,3170,0.1317,0.502411,0.234997,651.0547081538497
177,0.1332,6,2676,235,3170,0.1332,0.415997,0.259112,629.5249898593919
193,0.1363,10,2675,235,3170,0.1363,0.447994,0.210453,657.8169208275331
74,0.2661,43,9734,236,8330,0.2661,0.434992,0.251664,1181.1806912506254
199,0.2672,41,8656,236,8330,0.2672,0.496943,0.242558,1204.4449114808808
51,0.2735,41,4414,236,8330,0.2735,0.445719,0.243182,1215.7143390842023
162,0.276,41,7276,236,8330,0.276,0.458652,0.249783,1228.7473290646064
110,0.306,45,13075,236,8330,0.306,0.460176,0.237022,1353.9766452450206
40,0.3259,48,11719,236,8330,0.3259,0.456947,0.234852,1435.0023739449266
45,0.3442,42,6591,236,8330,0.3442,0.484864,0.215624,1520.5622151185144
130,0.3466,46,10694,236,8330,0.3466,0.477498,0.240689,1524.9672619858104
116,0.4087,41,17994,236,8330,0.4087,0.475354,0.238218,1779.4850484131264
83,0.4196,42,6833,236,8330,0.4196,0.509368,0.266477,1830.0472610608322
44,0.1485,5,3651,237,4470,0.1485,0.489379,0.194001,721.7881137965327
8,0.1652,8,6365,237,4470,0.1652,0.469875,0.266567,775.0675559503038
41,0.1803,5,3749,237,4470,0.1803,0.496378,0.23058,849.3427521125616
114,0.1823,9,3988,237,4470,0.1823,0.428536,0.274677,832.4434126038778
72,0.2625,10,6561,237,4470,0.2625,0.465093,0.22895,1177.9708241535654
109,0.2941,9,4333,237,4470,0.2941,0.458753,0.265452,1300.940455064266
118,0.2994,10,6636,237,4470,0.2994,0.51121,0.255518,1338.861345457055
54,0.3146,9,3814,237,4470,0.3146,0.507766,0.256127,1400.1700833910281
177,0.3153,6,2676,237,4470,0.3153,0.478821,0.208308,1401.2567557146865
93,0.3208,6,3859,237,4470,0.3208,0.51817,0.256487,1428.5043516065866
61,0.0838,15,2121,238,3100,0.0838,0.467181,0.239857,443.9025990306899
62,0.0951,15,3193,238,3100,0.0951,0.47399,0.247277,491.1988861010164
183,0.0961,16,2351,238,3100,0.0961,0.478763,0.240323,497.5840490423052
85,0.0997,12,2205,238,3100,0.0997,0.472339,0.236606,511.0347046577098
68,0.1058,15,3238,238,3100,0.1058,0.498281,0.233864,543.771219607713
67,0.1109,18,2281,238,3100,0.1109,0.435637,0.255882,544.0195854884786
131,0.1187,18,3258,238,3100,0.1187,0.494525,0.229641,596.2021402834463
191,0.1219,13,1809,238,3100,0.1219,0.437232,0.221004,594.2755310679631
28,0.1234,17,5009,238,3100,0.1234,0.430844,0.233889,596.8962486535634
151,0.1356,18,2757,238,3100,0.1356,0.469374,0.251472,655.5003640205576
90,0.0883,8,2079,239,2560,0.0883,0.446593,0.274291,451.9272056263845
63,0.098,8,1834,239,2560,0.098,0.460309,0.270847,496.0686256456341
198,0.0998,14,2938,239,2560,0.0998,0.432108,0.291238,492.7420218232618
99,0.103,10,2281,239,2560,0.103,0.444075,0.265003,512.7722619138298
103,0.1106,7,1866,239,2560,0.1106,0.438896,0.242983,545.4388305519221
156,0.1319,10,3096,239,2560,0.1319,0.450621,0.280085,631.1797684101073
87,0.1335,7,2392,239,2560,0.1335,0.4751,0.252186,648.4088843313443
3,0.1347,8,2998,239,2560,0.1347,0.46274,0.224722,653.5136799388295
193,0.1362,10,2675,239,2560,0.1362,0.442899,0.238618,652.191977885862
155,0.1382,7,1921,239,2560,0.1382,0.418286,0.262363,650.2520287281131
62,0.0906,15,3193,240,2540,0.0906,0.442409,0.252824,463.0556055522933
85,0.1063,12,2205,240,2540,0.1063,0.458046,0.209287,537.7290244077979
194,0.1145,16,2773,240,2540,0.1145,0.463545,0.235154,569.4643744051765
70,0.115,14,2567,240,2540,0.115,0.427509,0.24084,560.5565527058698
183,0.1156,16,2351,240,2540,0.1156,0.386162,0.242827,551.0515949016822
61,0.1204,15,2121,240,2540,0.1204,0.479225,0.199226,602.9217398393166
67,0.1262,18,2281,240,2540,0.1262,0.441282,0.263829,607.3277040963354
191,0.1342,13,1809,240,2540,0.1342,0.43445,0.23647,641.8828667257893
28,0.1362,17,5009,240,2540,0.1362,0.453537,0.235986,655.5549369822294
131,0.1413,18,3258,240,2540,0.1413,0.44661,0.218208,676.9012243426153
71,0.3319,58,15210,241,7040,0.3319,0.459561,0.232491,1460.6760929232876
69,0.3397,54,15982,241,7040,0.3397,0.415385,0.255372,1477.1129927732113
130,0.3792,46,10694,241,7040,0.3792,0.464507,0.245657,1654.3818529676962
12,0.3867,66,9862,241,7040,0.3867,0.461521,0.27435,1680.4654538824047
96,0.4752,48,8638,241,7040,0.4752,0.47005,0.226975,2052.3366582676645
14,0.4897,65,11096,241,7040,0.4897,0.516745,0.222031,2125.705742045707
199,0.5196,41,8656,241,7040,0.5196,0.456184,0.255744,2226.7302444684105
40,0.5379,48,11719,241,7040,0.5379,0.471024,0.196655,2313.9290748892217
17,0.5988,60,24421,241,7040,0.5988,0.420044,0.226369,2545.3921417184038
108,0.6663,52,5080,241,7040,0.6663,0.452207,0.217553,2832.6241800925723
46,0.226,20,4332,242,2380,0.226,0.536873,0.235543,1047.6424345378646
128,0.233,14,3062,242,2380,0.233,0.459063,0.2391,1053.86761342952
158,0.2789,19,3890,242,2380,0.2789,0.479822,0.267532,1244.2591150088783
